sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,79.04773622047244,0.0,0.0,-78.74015748031496
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,79.04773622047244,0.0,0.0,-78.74015748031496
9,79.04773622047244,-78.43257874015748,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,79.04773622047244,-78.43257874015748,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,79.04773622047244,0.0,0.0,0.0
17,79.04773622047244,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,79.04773622047244,0.0,0.0,0.0
25,948.8804133858267,-78.43257874015748,0.0,-78.74015748031496
26,1027.9281496062993,0.0,0.0,78.74015748031496
27,1423.474409448819,0.0,-157.48031496062993,0.0
28,1739.9729330708662,0.0,0.0,236.83562992125985
29,1739.9729330708662,-78.43257874015748,0.0,473.6712598425197
30,2530.7578740157483,0.0,0.0,631.7667322834645
31,2926.3041338582675,0.0,0.0,631.7667322834645
32,3479.9458661417325,0.0,0.0,473.6712598425197
33,3954.5398622047246,0.0,0.0,157.7878937007874
34,4191.683070866142,0.0,0.0,-236.83562992125985
35,4824.372539370079,0.0,0.0,-552.7189960629921
36,5298.966535433071,0.0,0.0,-789.554625984252
37,5773.560531496063,0.0,0.0,-868.6023622047244
38,6010.703740157481,0.0,0.0,-631.7667322834645
39,6406.25,0.0,0.0,-394.62352362204723
40,6564.345472440945,0.0,0.0,-236.83562992125985
41,6880.843996062992,0.0,0.0,-157.7878937007874
42,6959.891732283465,0.0,0.0,-157.7878937007874
43,6880.843996062992,0.0,0.0,-236.83562992125985
44,6959.891732283465,78.43257874015748,0.0,-236.83562992125985
45,6959.891732283465,0.0,0.0,-236.83562992125985
46,6880.843996062992,-78.43257874015748,0.0,-236.83562992125985
47,6880.843996062992,0.0,0.0,-157.7878937007874
48,6643.393208661418,78.43257874015748,0.0,-157.7878937007874
49,6485.297736220473,0.0,0.0,-78.74015748031496
