sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,78.74015748031496
1,79.04773622047244,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,-78.43257874015748,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,79.04773622047244,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,-78.74015748031496
12,79.04773622047244,-78.43257874015748,0.0,78.74015748031496
13,0.0,0.0,0.0,0.0
14,79.04773622047244,0.0,0.0,0.0
15,79.04773622047244,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,79.04773622047244,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,79.04773622047244,0.0,0.0,0.0
24,869.8326771653543,0.0,0.0,0.0
25,1027.9281496062993,0.0,0.0,-78.74015748031496
26,1423.474409448819,78.43257874015748,0.0,0.0
27,1739.9729330708662,-78.43257874015748,0.0,0.0
28,1660.6176181102362,0.0,0.0,0.0
29,2451.7101377952754,0.0,0.0,0.0
30,2926.3041338582675,0.0,0.0,0.0
31,3479.9458661417325,0.0,0.0,0.0
32,4033.587598425197,0.0,0.0,0.0
33,4349.778543307087,0.0,0.0,0.0
34,4982.468011811024,0.0,0.0,78.74015748031496
35,5536.109744094489,-78.43257874015748,0.0,0.0
36,5852.608267716535,78.43257874015748,0.0,78.74015748031496
37,6168.799212598426,0.0,0.0,0.0
38,6406.25,0.0,0.0,0.0
39,6406.25,0.0,0.0,0.0
40,6801.796259842519,0.0,0.0,78.74015748031496
41,6959.891732283465,0.0,0.0,0.0
42,7038.939468503937,0.0,0.0,0.0
43,7117.98720472441,0.0,0.0,0.0
44,7038.939468503937,0.0,0.0,78.74015748031496
45,6880.843996062992,0.0,0.0,0.0
46,6801.796259842519,0.0,0.0,0.0
47,6564.345472440945,0.0,0.0,0.0
48,6327.202263779527,0.0,0.0,0.0
49,6010.703740157481,0.0,0.0,0.0
