point_index,num_pulses,x_target_nm,y_target_nm,x_nm_avg,y_nm_avg,peak_intensity_mV_avg
1,3,-1250000,-1250000,-2509.84251968504,0.0,78.74015748031496
2,3,-1000000,-1250000,-1882.3818897637796,0.0,78.74015748031496
3,3,-750000,-1250000,627.46062992126,0.0,78.74015748031496
4,3,-500000,-1250000,-2509.8425196850394,-1259.8425196850394,78.74015748031496
5,3,-250000,-1250000,-1254.92125984252,-2519.685039370079,78.74015748031496
6,3,0,-1250000,-627.4606299212599,0.0,78.74015748031496
7,3,250000,-1250000,1254.92125984252,0.0,78.74015748031496
8,3,500000,-1250000,627.4606299212599,0.0,78.74015748031496
9,3,750000,-1250000,4392.224409448819,0.0,78.74015748031496
10,3,1000000,-1250000,-3137.3031496062995,0.0,78.74015748031496
11,3,1250000,-1250000,-2509.8425196850394,-1259.8425196850394,78.74015748031496
12,3,-1250000,-1000000,-1254.9212598425197,0.0,78.74015748031496
13,3,-1000000,-1000000,-1254.92125984252,0.0,78.74015748031496
14,3,-750000,-1000000,627.4606299212599,0.0,78.74015748031496
15,3,-500000,-1000000,-627.46062992126,0.0,78.74015748031496
16,3,-250000,-1000000,-1254.9212598425197,0.0,78.74015748031496
17,3,0,-1000000,-3137.3031496062995,0.0,78.74015748031496
18,3,250000,-1000000,1882.3818897637796,0.0,78.74015748031496
19,3,500000,-1000000,-1882.3818897637796,0.0,78.74015748031496
20,3,750000,-1000000,-627.4606299212599,0.0,78.74015748031496
21,3,1000000,-1000000,-2509.8425196850394,-1259.8425196850394,78.74015748031496
22,3,1250000,-1000000,0.0,-3779.5275590551187,78.74015748031496
23,3,-1250000,-750000,-2509.84251968504,0.0,78.74015748031496
24,3,-1000000,-750000,-1882.38188976378,0.0,78.74015748031496
25,3,-750000,-750000,-2509.8425196850394,0.0,78.74015748031496
26,3,-500000,-750000,-3764.763779527559,-1259.8425196850394,78.74015748031496
27,3,-250000,-750000,-3137.3031496062995,0.0,78.74015748031496
28,3,0,-750000,627.4606299212599,0.0,78.74015748031496
29,3,250000,-750000,-3137.3031496062995,0.0,78.74015748031496
30,3,500000,-750000,-6274.606299212599,0.0,78.74015748031496
31,3,750000,-750000,1882.3818897637796,-2519.685039370079,78.74015748031496
32,3,1000000,-750000,-4392.224409448819,0.0,78.74015748031496
33,3,1250000,-750000,0.0,0.0,78.74015748031496
34,3,-1250000,-500000,0.0,0.0,78.74015748031496
35,3,-1000000,-500000,-1254.9212598425197,-1259.8425196850394,78.74015748031496
36,3,-750000,-500000,0.0,0.0,78.74015748031496
37,3,-500000,-500000,-1254.9212598425197,0.0,78.74015748031496
38,3,-250000,-500000,627.46062992126,0.0,78.74015748031496
39,3,0,-500000,1254.9212598425197,-1259.8425196850394,78.74015748031496
40,3,250000,-500000,-4392.224409448819,0.0,78.74015748031496
41,3,500000,-500000,-1882.3818897637796,0.0,78.74015748031496
42,3,750000,-500000,-3764.763779527559,-1259.8425196850394,78.74015748031496
43,3,1000000,-500000,0.0,-1259.8425196850394,78.74015748031496
44,3,1250000,-500000,1254.92125984252,0.0,78.74015748031496
45,3,-1250000,-250000,-1882.3818897637796,0.0,78.74015748031496
46,3,-1000000,-250000,-1882.3818897637796,-2519.685039370079,78.74015748031496
47,3,-750000,-250000,-1254.9212598425197,-1259.8425196850394,78.74015748031496
48,3,-500000,-250000,-3764.763779527559,0.0,78.74015748031496
49,3,-250000,-250000,-2509.8425196850394,0.0,78.74015748031496
50,3,0,-250000,-2509.8425196850394,0.0,78.74015748031496
51,3,250000,-250000,-3137.3031496062995,0.0,78.74015748031496
52,3,500000,-250000,1254.92125984252,0.0,78.74015748031496
53,3,750000,-250000,-1882.3818897637796,-1259.8425196850394,78.74015748031496
54,3,1000000,-250000,-1882.3818897637796,0.0,78.74015748031496
55,3,1250000,-250000,-2509.8425196850394,0.0,78.74015748031496
56,3,-1250000,0,-4392.224409448819,0.0,78.74015748031496
57,3,-1000000,0,-627.4606299212599,-1259.8425196850394,78.74015748031496
58,3,-750000,0,-2509.8425196850394,-1259.8425196850394,78.74015748031496
59,3,-500000,0,2509.8425196850394,0.0,78.74015748031496
60,3,-250000,0,1882.3818897637796,0.0,78.74015748031496
61,3,0,0,-1254.92125984252,0.0,78.74015748031496
