global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,1,1,-1250000,-1250000,-1882.3818897637796,0.0,78.74015748031496
,1,2,-1250000,-1250000,-7529.527559055118,0.0,78.74015748031496
,1,3,-1250000,-1250000,1882.3818897637796,0.0,78.74015748031496
,2,1,-1000000,-1250000,-3764.763779527559,0.0,78.74015748031496
,2,2,-1000000,-1250000,-3764.763779527559,0.0,78.74015748031496
,2,3,-1000000,-1250000,1882.3818897637796,0.0,78.74015748031496
,3,1,-750000,-1250000,-3764.763779527559,0.0,78.74015748031496
,3,2,-750000,-1250000,5647.145669291339,0.0,78.74015748031496
,3,3,-750000,-1250000,0.0,0.0,78.74015748031496
,4,1,-500000,-1250000,-1882.3818897637796,-3779.527559055118,78.74015748031496
,4,2,-500000,-1250000,-3764.763779527559,0.0,78.74015748031496
,4,3,-500000,-1250000,-1882.3818897637796,0.0,78.74015748031496
,5,1,-250000,-1250000,-5647.145669291339,0.0,78.74015748031496
,5,2,-250000,-1250000,1882.3818897637796,-7559.055118110236,78.74015748031496
,5,3,-250000,-1250000,0.0,0.0,78.74015748031496
,6,1,0,-1250000,-1882.3818897637796,0.0,78.74015748031496
,6,2,0,-1250000,-1882.3818897637796,0.0,78.74015748031496
,6,3,0,-1250000,1882.3818897637796,0.0,78.74015748031496
,7,1,250000,-1250000,5647.145669291339,0.0,78.74015748031496
,7,2,250000,-1250000,-1882.3818897637796,0.0,78.74015748031496
,7,3,250000,-1250000,0.0,0.0,78.74015748031496
,8,1,500000,-1250000,3764.763779527559,0.0,78.74015748031496
,8,2,500000,-1250000,-3764.763779527559,0.0,78.74015748031496
,8,3,500000,-1250000,1882.3818897637796,0.0,78.74015748031496
,9,1,750000,-1250000,5647.145669291339,0.0,0.0
,9,2,750000,-1250000,1882.3818897637796,0.0,78.74015748031496
,9,3,750000,-1250000,5647.145669291339,0.0,78.74015748031496
,10,1,1000000,-1250000,-1882.3818897637796,0.0,0.0
,10,2,1000000,-1250000,-7529.527559055118,0.0,78.74015748031496
,10,3,1000000,-1250000,0.0,0.0,0.0
,11,1,1250000,-1250000,-3764.763779527559,-3779.527559055118,78.74015748031496
,11,2,1250000,-1250000,0.0,0.0,78.74015748031496
,11,3,1250000,-1250000,-3764.763779527559,0.0,78.74015748031496
,12,1,-1250000,-1000000,-3764.763779527559,0.0,78.74015748031496
,12,2,-1250000,-1000000,0.0,0.0,78.74015748031496
,12,3,-1250000,-1000000,0.0,0.0,78.74015748031496
,13,1,-1000000,-1000000,1882.3818897637796,0.0,78.74015748031496
,13,2,-1000000,-1000000,0.0,0.0,78.74015748031496
,13,3,-1000000,-1000000,-5647.145669291339,0.0,78.74015748031496
,14,1,-750000,-1000000,3764.763779527559,0.0,78.74015748031496
,14,2,-750000,-1000000,-1882.3818897637796,0.0,78.74015748031496
,14,3,-750000,-1000000,0.0,0.0,78.74015748031496
,15,1,-500000,-1000000,-3764.763779527559,0.0,78.74015748031496
,15,2,-500000,-1000000,-1882.3818897637796,0.0,78.74015748031496
,15,3,-500000,-1000000,3764.763779527559,0.0,0.0
,16,1,-250000,-1000000,1882.3818897637796,0.0,78.74015748031496
,16,2,-250000,-1000000,-1882.3818897637796,0.0,78.74015748031496
,16,3,-250000,-1000000,-3764.763779527559,0.0,78.74015748031496
,17,1,0,-1000000,0.0,0.0,78.74015748031496
,17,2,0,-1000000,-7529.527559055118,0.0,78.74015748031496
,17,3,0,-1000000,-1882.3818897637796,0.0,78.74015748031496
,18,1,250000,-1000000,3764.763779527559,0.0,78.74015748031496
,18,2,250000,-1000000,1882.3818897637796,0.0,78.74015748031496
,18,3,250000,-1000000,0.0,0.0,78.74015748031496
,19,1,500000,-1000000,0.0,0.0,78.74015748031496
,19,2,500000,-1000000,-5647.145669291339,0.0,78.74015748031496
,19,3,500000,-1000000,0.0,0.0,78.74015748031496
,20,1,750000,-1000000,1882.3818897637796,0.0,78.74015748031496
,20,2,750000,-1000000,-1882.3818897637796,0.0,78.74015748031496
,20,3,750000,-1000000,-1882.3818897637796,0.0,78.74015748031496
,21,1,1000000,-1000000,-3764.763779527559,0.0,0.0
,21,2,1000000,-1000000,-3764.763779527559,0.0,78.74015748031496
,21,3,1000000,-1000000,0.0,-3779.527559055118,78.74015748031496
,22,1,1250000,-1000000,3764.763779527559,0.0,78.74015748031496
,22,2,1250000,-1000000,-3764.763779527559,-7559.055118110236,78.74015748031496
,22,3,1250000,-1000000,0.0,-3779.527559055118,78.74015748031496
,23,1,-1250000,-750000,-3764.763779527559,0.0,78.74015748031496
,23,2,-1250000,-750000,-5647.145669291339,0.0,78.74015748031496
,23,3,-1250000,-750000,1882.3818897637796,0.0,78.74015748031496
,24,1,-1000000,-750000,1882.3818897637796,0.0,0.0
,24,2,-1000000,-750000,-9411.909448818898,0.0,78.74015748031496
,24,3,-1000000,-750000,1882.3818897637796,0.0,78.74015748031496
,25,1,-750000,-750000,-3764.763779527559,0.0,78.74015748031496
,25,2,-750000,-750000,0.0,0.0,78.74015748031496
,25,3,-750000,-750000,-3764.763779527559,0.0,78.74015748031496
,26,1,-500000,-750000,-3764.763779527559,0.0,78.74015748031496
